GHGRP ID No. / No d'identification du PDGES,Reference Year / Année de référence,Facility Name / Nom de l'installation,Facility City or District or Municipality / Ville ou District ou Municipalité de l'installation,Facility Province or Territory / Province ou territoire de l'installation,Facility NPRI ID / Numéro d'identification de l'INRP,Facility NAICS Code / Code SCIAN de l'installation,English Facility NAICS Code Description / Description du code SCIAN de l'installation en anglais,French Facility NAICS Code Description / Description du code SCIAN de l'installation en français,Reporting Company Legal Name / Dénomination sociale de la société déclarante,Reporting Company Trade Name / Nom commercial de la société déclarante,CO2 (tonnes),CH4 (tonnes),CH4 (tonnes CO2e / tonnes éq. CO2),N2O (tonnes),N2O (tonnes CO2e / tonnes éq. CO2),Total Emissions (tonnes CO2e) / Émissions totales (tonnes éq. CO2)
G11088,2022,Confederation Heights Central Heating and Cooling Plant,Ottawa,Ontario,11482,911910,Other Federal Government Public Administration,Autres services de l'administration publique fédérale,Public Works and Government Services Canada,,5597.6,0.11,3.08,0.1,26.5,5627.18
G11089,2022,Sanimax Lom Inc.,Montréal,Quebec,8594,311614,Rendering and Meat Processing from Carcasses,Fonte des graisses animales et transformation de la viande provenant de carcasses,Sanimax Lom Inc.,,33866,0.6827,19.1156,0.6819,180.7035,34065.8191
G11090,2022,Usine Dorval,Dorval,Quebec,1139,336410,Aerospace Product and Parts Manufacturing,Fabrication de produits aérospatiaux et de leurs pièces,Bombardier Inc.,,10817.39,0.174,4.872,0.185,49.025,10890.48353
G11091,2022,Valhalla 03-27-075-09W6 BTY,Valhalla,Alberta,16633,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Whitecap Resources Inc.,,15781.53431,203.99834,5711.95352,1.19171,315.80315,21809.29098
G11092,2022,Sonoco Brantford,Brantford,Ontario,10193,322130,Paperboard Mills,Usines de carton,Sonoco Canada Corporation,Sonoco Canada Corporation,23793.5,0.47,13.16,0.425,112.625,23919.285
G11093,2022,Halton Waste Management Site,25 Milton,Ontario,11621,562210,Waste Treatment and Disposal,Traitement et élimination des déchets,Region Municipality of Halton,,0,3271.8013,91610.4364,0,0,91610.4364
G11095,2022,INFASCO,Marieville,Quebec,449,331221,Cold-Rolled Steel Shape Manufacturing,Fabrication de formes en acier laminé à froid,Ifastgroupe,,15445,0.468,13.104,0.3658,96.937,15555.041
G11097,2022,Rain Carbon Canada Inc.,Hamilton,Ontario,2070,325190,Other Basic Organic Chemical Manufacturing,Fabrication d'autres produits chimiques organiques de base,Rain Carbon Canada Inc.,,29927.8,0.573,16.044,0.515,136.475,30080.319
G11098,2022,ArcelorMittal Coteau Du Lac Inc,Coteau du Lac,Quebec,4328,339990,All Other Miscellaneous Manufacturing,Toutes les autres activités diverses de fabrication,ArcelorMittal Coteau Du Lac,,10744.732,0.212,5.936,0.189,50.085,10800.753
G11100,2022,Trilogy Presley 03-29-059-19,,Alberta,21914,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Paramount Resources Ltd.,,20916.09147,209.26745,5859.4886,9.85206,2610.7959,29386.37597
G11102,2022,Goodyear Canada Inc.,Napanee,Ontario,1322,326210,Tire Manufacturing,Fabrication de pneus,Goodyear Canada Inc.,,20543.7574,0.404,11.312,0.35489,94.04585,20649.11525
G11103,2022,Kaiser Aluminum Canada Limited,London,Ontario,5649,331317,"Aluminum Rolling, Drawing, Extruding and Alloying","Laminage, étirage, extrusion et alliage de l'aluminium",Kaiser Aluminum Canada Limited,,17373.681,0.372,10.416,0.303,80.295,17464.392
